movie_title,genres,director_name,actor_1,actor_2,actor_3
 ,Drama,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia
#Gadhvi (He thought he was Gandhi),Drama,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
#Homecoming,"Drama, Musical",Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
#Yaaram,"Comedy, Romance",Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...And Once Again,Drama,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
...Aur Pyaar Ho Gaya,"Comedy, Drama, Musical",Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...Yahaan,"Drama, Romance, War",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
.in for Motion,Documentary,Anirban Datta,,,
?: A Question Mark,"Horror, Mystery, Thriller",Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
@Andheri,"Action, Crime, Thriller",Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,Drama,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,Horror,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 Days,"Horror, Romance, Thriller",Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% Love,"Comedy, Drama, Romance",Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
101 Ratein,Thriller,Harish,Saraswati,Disco Shanti,
102 Not Out,"Comedy, Drama",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
108 Limited,,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam
108 Teerthyatra,"Comedy, Drama, Fantasy",Rajpati,Pravin Anand,Nayan Bhatt,Jeetu
10ml LOVE,"Comedy, Drama, Romance",Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
11 O'Clock,,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi
12 Bulbule,"Comedy, Drama, Family",Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
12 O'Clock,"Crime, Drama, Mystery",Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 O'Clock,"Horror, Thriller",Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
12 Years,Biography,Sohail Tatari,,,
124a,Documentary,Varrun Sukhraj,,,
127 B,"Comedy, Horror",Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13 May Gulaabi Nagar,Action,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
13 Tribute of Love,Drama,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
